Date,Timestamp,Open,High,Low,Close,Volume
20241206,02:00:00,44770.499,44770.499,44764.227,44765.287,0.0015999999595806
20241206,02:01:00,44765.727,44765.727,44762.275,44763.775,0.000749999981053406
20241206,02:02:00,44764.203,44764.727,44760.287,44760.287,0.000599999984842725
20241206,02:03:00,44759.739,44761.263,44758.299,44758.299,0.000999999974737875
20241206,02:04:00,44757.203,44759.999,44756.775,44757.799,0.00119999996968545
20241206,02:05:00,44758.239,44760.751,44756.999,44757.251,0.00114999997094856
20241206,02:06:00,44756.763,44757.299,44752.227,44753.263,0.00144999996336992
20241206,02:07:00,44752.727,44753.239,44747.215,44747.215,0.00129999996715924
20241206,02:08:00,44746.999,44749.499,44746.239,44747.215,0.00119999996968545
20241206,02:09:00,44746.715,44748.275,44744.287,44748.275,0.00114999997094856
20241206,02:10:00,44748.727,44754.203,44748.727,44753.251,0.00119999996968545
20241206,02:11:00,44752.287,44752.287,44749.203,44750.251,0.000849999978527194
20241206,02:12:00,44750.715,44753.227,44750.227,44753.227,0.000599999984842725
20241206,02:13:00,44752.203,44760.715,44752.203,44760.203,0.000849999978527194
20241206,02:14:00,44759.799,44761.499,44758.703,44759.215,0.000749999981053406
20241206,02:15:00,44758.215,44758.227,44754.239,44758.215,0.00109999997221166
20241206,02:16:00,44757.299,44763.499,44756.203,44762.299,0.00104999997347477
20241206,02:17:00,44762.215,44764.499,44761.227,44763.227,0.000749999981053406
20241206,02:18:00,44763.703,44763.703,44762.203,44762.203,0.000349999991158256
20241206,02:19:00,44762.715,44767.299,44762.715,44766.215,0.000649999983579619
20241206,02:20:00,44765.763,44765.763,44763.251,44763.251,0.000299999992421363
20241206,02:21:00,44764.227,44765.275,44763.287,44763.751,0.00039999998989515
20241206,02:22:00,44763.251,44766.251,44763.251,44763.787,0.000599999984842725
20241206,02:23:00,44763.299,44765.263,44763.299,44764.239,0.0007999999797903
20241206,02:24:00,44763.263,44764.287,44762.299,44762.299,0.000249999993684469
20241206,02:25:00,44763.287,44763.287,44761.215,44762.287,0.000499999987368938
20241206,02:26:00,44762.763,44762.763,44759.499,44760.299,0.000649999983579619
20241206,02:27:00,44760.215,44761.275,44757.263,44757.263,0.000699999982316513
20241206,02:28:00,44757.703,44761.239,44757.703,44760.263,0.000599999984842725
20241206,02:29:00,44759.275,44761.275,44759.239,44759.239,0.000349999991158256
20241206,02:30:00,44760.251,44763.739,44760.251,44763.499,0.000949999976000981
20241206,02:31:00,44762.739,44763.275,44760.727,44762.263,0.00109999997221166
20241206,02:32:00,44763.499,44764.299,44762.999,44764.299,0.000249999993684469
20241206,02:33:00,44764.787,44764.787,44762.239,44763.215,0.000349999991158256
20241206,02:34:00,44762.215,44762.215,44760.203,44760.263,0.0007999999797903
20241206,02:35:00,44759.215,44759.251,44757.275,44758.203,0.000699999982316513
20241206,02:36:00,44757.287,44757.287,44753.763,44755.239,0.000549999986105831
20241206,02:37:00,44754.703,44758.203,44753.751,44756.215,0.000749999981053406
20241206,02:38:00,44755.287,44755.299,44753.239,44755.299,0.000699999982316513
20241206,02:39:00,44754.203,44756.287,44753.203,44756.287,0.000599999984842725
20241206,02:40:00,44755.799,44758.499,44754.499,44758.499,0.000849999978527194
20241206,02:41:00,44759.215,44761.499,44759.215,44760.499,0.000549999986105831
20241206,02:42:00,44759.227,44760.299,44759.227,44759.727,0.000199999994947575
20241206,02:43:00,44759.287,44762.499,44759.287,44761.299,0.000899999977264088
20241206,02:44:00,44760.751,44760.775,44759.287,44759.299,0.000649999983579619
20241206,02:45:00,44758.739,44758.763,44756.239,44757.275,0.000599999984842725
20241206,02:46:00,44756.763,44759.275,44756.763,44759.215,0.000749999981053406
20241206,02:47:00,44758.775,44759.251,44757.703,44758.215,0.000849999978527194
20241206,02:48:00,44759.275,44759.275,44756.251,44759.275,0.0007999999797903
20241206,02:49:00,44758.251,44760.203,44758.251,44760.203,0.00039999998989515
20241206,02:50:00,44761.499,44761.499,44753.287,44753.287,0.000749999981053406
20241206,02:51:00,44752.763,44756.287,44751.787,44754.287,0.000999999974737875
20241206,02:52:00,44754.751,44755.499,44753.215,44754.287,0.000449999988632044
20241206,02:53:00,44753.215,44754.287,44752.263,44753.499,0.000999999974737875
20241206,02:54:00,44752.299,44754.499,44750.227,44750.775,0.000899999977264088
20241206,02:55:00,44751.499,44754.263,44751.299,44754.263,0.000949999976000981
20241206,02:56:00,44755.287,44756.239,44753.499,44753.499,0.000549999986105831
20241206,02:57:00,44752.227,44755.227,44752.227,44754.263,0.000249999993684469
20241206,02:58:00,44753.215,44754.299,44752.227,44754.299,0.000299999992421363
20241206,02:59:00,44754.799,44759.499,44752.203,44757.799,0.000899999977264088
20241206,03:00:00,44755.239,44756.215,44750.299,44750.299,0.0015999999595806
20241206,03:01:00,44751.251,44752.287,44749.739,44751.263,0.00109999997221166
20241206,03:02:00,44750.275,44751.999,44749.287,44751.775,0.000849999978527194
20241206,03:03:00,44751.299,44753.227,44750.263,44753.227,0.000899999977264088
20241206,03:04:00,44752.215,44753.275,44751.239,44752.203,0.000899999977264088
20241206,03:05:00,44751.727,44751.727,44749.203,44750.275,0.000649999983579619
20241206,03:06:00,44749.703,44751.275,44749.703,44750.215,0.000549999986105831
